Magnitude of (-0.64,-0.17, 1.01) is:   1.21
Magnitude of (-0.62,-0.15, 0.99) is:   1.18
Magnitude of (-0.60,-0.14, 0.98) is:   1.16
Magnitude of (-0.58,-0.10, 0.98) is:   1.14
Magnitude of (-0.57,-0.11, 0.95) is:   1.12
Magnitude of (-0.56,-0.09, 0.94) is:   1.10
Magnitude of (-0.56,-0.09, 0.92) is:   1.08
Magnitude of (-0.55,-0.08, 0.92) is:   1.07
Magnitude of (-0.54,-0.08, 0.90) is:   1.06
Magnitude of (-0.54,-0.08, 0.89) is:   1.04
Magnitude of (-0.54,-0.08, 0.90) is:   1.05
Magnitude of (-0.52,-0.08, 0.89) is:   1.03
Magnitude of (-0.52,-0.08, 0.87) is:   1.02
Magnitude of (-0.52,-0.08, 0.87) is:   1.02
Magnitude of (-0.52,-0.08, 0.87) is:   1.01
Magnitude of (-0.51,-0.09, 0.87) is:   1.01
Magnitude of (-0.51,-0.10, 0.87) is:   1.01
Magnitude of (-0.52,-0.12, 0.85) is:   1.01
Magnitude of (-0.49,-0.11, 0.88) is:   1.01
Magnitude of (-0.48,-0.11, 0.88) is:   1.01
Magnitude of (-0.48,-0.11, 0.89) is:   1.01
Magnitude of (-0.48,-0.12, 0.89) is:   1.02
Magnitude of (-0.48,-0.12, 0.90) is:   1.02
Magnitude of (-0.48,-0.11, 0.90) is:   1.03
Magnitude of (-0.48,-0.12, 0.90) is:   1.02
Magnitude of (-0.48,-0.11, 0.92) is:   1.04
Magnitude of (-0.46,-0.12, 0.93) is:   1.05
Magnitude of (-0.46,-0.14, 0.94) is:   1.05
Magnitude of (-0.46,-0.15, 0.95) is:   1.06
Magnitude of (-0.46,-0.16, 0.96) is:   1.07
Magnitude of (-0.44,-0.17, 0.97) is:   1.08
Magnitude of (-0.43,-0.18, 0.97) is:   1.08
Magnitude of (-0.43,-0.19, 1.00) is:   1.10
Magnitude of (-0.41,-0.20, 1.01) is:   1.11
Magnitude of (-0.41,-0.21, 1.02) is:   1.11
Magnitude of (-0.41,-0.23, 1.02) is:   1.12
Magnitude of (-0.41,-0.24, 1.03) is:   1.14
Magnitude of (-0.41,-0.25, 1.04) is:   1.14
Magnitude of (-0.40,-0.26, 1.06) is:   1.17
Magnitude of (-0.41,-0.28, 1.07) is:   1.18
Magnitude of (-0.40,-0.29, 1.08) is:   1.19
Magnitude of (-0.40,-0.31, 1.09) is:   1.20
Magnitude of (-0.39,-0.32, 1.09) is:   1.20
Magnitude of (-0.39,-0.33, 1.10) is:   1.22
Magnitude of (-0.38,-0.35, 1.11) is:   1.23
Magnitude of (-0.37,-0.35, 1.13) is:   1.24
Magnitude of (-0.36,-0.35, 1.12) is:   1.23
Magnitude of (-0.38,-0.36, 1.13) is:   1.24
Magnitude of (-0.39,-0.36, 1.12) is:   1.24
Magnitude of (-0.40,-0.38, 1.13) is:   1.25
Magnitude of (-0.41,-0.38, 1.13) is:   1.26
Magnitude of (-0.41,-0.40, 1.14) is:   1.28
Magnitude of (-0.41,-0.41, 1.15) is:   1.29
Magnitude of (-0.41,-0.41, 1.15) is:   1.29
Magnitude of (-0.41,-0.43, 1.15) is:   1.29
Magnitude of (-0.41,-0.44, 1.15) is:   1.30
Magnitude of (-0.39,-0.45, 1.16) is:   1.30
Magnitude of (-0.38,-0.45, 1.15) is:   1.29
Magnitude of (-0.36,-0.46, 1.15) is:   1.29
Magnitude of (-0.34,-0.47, 1.15) is:   1.29
Magnitude of (-0.33,-0.46, 1.16) is:   1.29
Magnitude of (-0.30,-0.46, 1.15) is:   1.27
Magnitude of (-0.28,-0.47, 1.13) is:   1.26
Magnitude of (-0.27,-0.47, 1.13) is:   1.25
Magnitude of (-0.26,-0.47, 1.11) is:   1.24
Magnitude of (-0.25,-0.47, 1.11) is:   1.23
Magnitude of (-0.24,-0.47, 1.09) is:   1.21
Magnitude of (-0.23,-0.48, 1.08) is:   1.20
Magnitude of (-0.22,-0.48, 1.07) is:   1.19
Magnitude of (-0.20,-0.47, 1.06) is:   1.18
Magnitude of (-0.20,-0.48, 1.03) is:   1.16
Magnitude of (-0.18,-0.48, 1.02) is:   1.14
Magnitude of (-0.17,-0.48, 1.00) is:   1.12
Magnitude of (-0.15,-0.47, 0.98) is:   1.10
Magnitude of (-0.12,-0.46, 0.97) is:   1.08
Magnitude of (-0.11,-0.45, 0.96) is:   1.07
Magnitude of (-0.08,-0.46, 0.95) is:   1.06
Magnitude of (-0.06,-0.45, 0.93) is:   1.04
Magnitude of (-0.05,-0.45, 0.91) is:   1.02
Magnitude of (-0.03,-0.45, 0.90) is:   1.01
Magnitude of (-0.01,-0.45, 0.89) is:   0.99
Magnitude of (-0.00,-0.44, 0.89) is:   0.99
Magnitude of ( 0.02,-0.45, 0.86) is:   0.97
Magnitude of ( 0.04,-0.45, 0.84) is:   0.96
Magnitude of ( 0.05,-0.45, 0.83) is:   0.95
Magnitude of ( 0.07,-0.45, 0.82) is:   0.94
Magnitude of ( 0.09,-0.45, 0.81) is:   0.92
Magnitude of ( 0.10,-0.45, 0.79) is:   0.92
Magnitude of ( 0.10,-0.46, 0.77) is:   0.91
Magnitude of ( 0.13,-0.45, 0.76) is:   0.89
Magnitude of ( 0.15,-0.44, 0.75) is:   0.88
Magnitude of ( 0.16,-0.44, 0.74) is:   0.88
Magnitude of ( 0.17,-0.44, 0.73) is:   0.87
Magnitude of ( 0.18,-0.44, 0.72) is:   0.86
Magnitude of ( 0.18,-0.44, 0.72) is:   0.86
Magnitude of ( 0.18,-0.45, 0.71) is:   0.86
Magnitude of ( 0.20,-0.44, 0.72) is:   0.87
Magnitude of ( 0.21,-0.45, 0.72) is:   0.88
Magnitude of ( 0.21,-0.45, 0.71) is:   0.87
Magnitude of ( 0.22,-0.46, 0.72) is:   0.88
Magnitude of ( 0.24,-0.48, 0.71) is:   0.89
Magnitude of ( 0.25,-0.48, 0.71) is:   0.89
Magnitude of ( 0.26,-0.49, 0.69) is:   0.89
Magnitude of ( 0.29,-0.49, 0.72) is:   0.92
Magnitude of ( 0.30,-0.49, 0.72) is:   0.92
Magnitude of ( 0.31,-0.49, 0.74) is:   0.94
Magnitude of ( 0.31,-0.50, 0.73) is:   0.94
Magnitude of ( 0.32,-0.51, 0.74) is:   0.95
Magnitude of ( 0.32,-0.51, 0.75) is:   0.96
Magnitude of ( 0.33,-0.51, 0.76) is:   0.97
Magnitude of ( 0.33,-0.51, 0.78) is:   0.99
Magnitude of ( 0.33,-0.51, 0.79) is:   0.99
Magnitude of ( 0.33,-0.51, 0.79) is:   1.00
